# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.allKeys.lookupDuration90PMs,1717189697682000000,1717189734601000000,0.0
Indexes.entries.lookupDurationAvgMs,1717189697682000000,1717189734601000000,0.0
Indexes.stubs.lookupDuration90PMs,1717189697682000000,1717189734601000000,0.0
Indexes.stubs.lookupDurationAvgMs,1717189697682000000,1717189734601000000,0.0
Indexes.stubs.lookups,1717189697682000000,1717189734601000000,0.0
FilePageCacheLockFree.housekeeperTimeSpentMs,1717189697682000000,1717189734601000000,0
FilePageCache.disposedBuffers,1717189697682000000,1717189734601000000,170
StorageLockContext.competingThreads.avg,1717189697682000000,1717189734601000000,0.0
FilePageCacheLockFree.nativeBytesInUse,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1717189697682000000,1717189734601000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1717189697682000000,1717189734601000000,0
FilePageCache.totalPageLoadsUs,1717189697682000000,1717189734601000000,58041
FilePageCache.totalPageDisposalsUs,1717189697682000000,1717189734601000000,1640
FilePageCache.maxRegisteredFiles,1717189697682000000,1717189734601000000,455
MappedFileStorage.totalTimeSpentOnMappingUs,1717189697682000000,1717189734601000000,1188468
FilePageCache.pageHits,1717189697682000000,1717189734601000000,0
FilePageCache.maxCacheSizeInBytes,1717189697682000000,1717189734601000000,175112192
MappedFileStorage.totalBytesMapped,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1717189697682000000,1717189734601000000,0
FilePageCache.capacityInBytes,1717189697682000000,1717189734601000000,503316478
MappedFileStorage.totalPagesMapped,1717189697682000000,1717189734601000000,0
StorageLockContext.competingThreads.max,1717189697682000000,1717189734601000000,0
DirectByteBufferAllocator.hits,1717189697682000000,1717189734601000000,3
FilePageCacheLockFree.heapBytesInUse,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPagesWriteMs,1717189697682000000,1717189734601000000,0
MappedFileStorage.storages,1717189697682000000,1717189734601000000,0
StorageLockContext.competingThreads.90P,1717189697682000000,1717189734601000000,0
DirectByteBufferAllocator.disposed,1717189697682000000,1717189734601000000,127
FilePageCacheLockFree.totalNativeBytesReclaimed,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1717189697682000000,1717189734601000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717189697682000000,1717189734601000000,41943040
FilePageCache.pageLoadsAboveSizeThreshold,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPagesReclaimed,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPagesWritten,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPagesAllocated,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717189697682000000,1717189734601000000,0
FilePageCache.uncachedFileAccess,1717189697682000000,1717189734601000000,283
DirectByteBufferAllocator.misses,1717189697682000000,1717189734601000000,167
FilePageCacheLockFree.totalHeapBytesAllocated,1717189697682000000,1717189734601000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717189697682000000,1717189734601000000,41943040
FilePageCacheLockFree.totalBytesRead,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalPagesRequested,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1717189697682000000,1717189734601000000,0
FilePageCache.pageLoads,1717189697682000000,1717189734601000000,170
FilePageCache.pageFastCacheHits,1717189697682000000,1717189734601000000,11782
FilePageCacheLockFree.totalPagesReadMs,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalBytesWritten,1717189697682000000,1717189734601000000,0
DirectByteBufferAllocator.reclaimed,1717189697682000000,1717189734601000000,43
FilePageCacheLockFree.totalBytesRequested,1717189697682000000,1717189734601000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1717189697682000000,1717189734601000000,0
cacheStateStorage.set.duration,1717189697682000000,1717189734601000000,0
cacheStateStorage.get.duration,1717189697682000000,1717189734601000000,0
cacheStateStorage.get.counter,1717189697682000000,1717189734601000000,5
cacheStateStorage.set.counter,1717189697682000000,1717189734601000000,0
workspaceModel.to.snapshot.ms,1717189697682000000,1717189734601000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1717189697682000000,1717189734601000000,0
workspaceModel.cachedValue.calculated.ms,1717189697682000000,1717189734601000000,0
workspaceModel.updates.precise.ms,1717189697682000000,1717189734601000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1717189697682000000,1717189734601000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1717189697682000000,1717189734601000000,3
workspaceModel.cachedValue.from.cache.ms,1717189697682000000,1717189734601000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1717189697682000000,1717189734601000000,0
workspaceModel.cachedValue.total.get.ms,1717189697682000000,1717189734601000000,0
workspaceModel.pre.handlers.ms,1717189697682000000,1717189734601000000,0
workspaceModel.update.unloaded.entities.ms,1717189697682000000,1717189734601000000,0
workspaceModel.check.recursive.update.ms,1717189697682000000,1717189734601000000,0
workspaceModel.full.replace.project.model.ms,1717189697682000000,1717189734601000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1717189697682000000,1717189734601000000,0
workspaceModel.updates.count,1717189697682000000,1717189734601000000,0
workspaceModel.cachedValue.clear.ms,1717189697682000000,1717189734601000000,0
workspaceModel.initializing.ms,1717189697682000000,1717189734601000000,0
workspaceModel.loading.from.cache.ms,1717189697682000000,1717189734601000000,14
workspaceModel.init.bridges.ms,1717189697682000000,1717189734601000000,0
workspaceModel.replace.project.model.ms,1717189697682000000,1717189734601000000,0
workspaceModel.collect.changes.ms,1717189697682000000,1717189734601000000,0
workspaceModel.updates.ms,1717189697682000000,1717189734601000000,0
workspaceModel.loading.total.ms,1717189697682000000,1717189734601000000,18
workspaceModel.moduleManagerBridge.load.module.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1717189697682000000,1717189734601000000,0
jps.global.get.library.by.name.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1717189697682000000,1717189734601000000,0
workspaceModel.do.save.caches.ms,1717189697682000000,1717189734601000000,0
workspaceModel.save.cache.to.file.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1717189697682000000,1717189734601000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1717189697682000000,1717189734601000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1717189697682000000,1717189734601000000,0
jps.global.handle.before.change.events.ms,1717189697682000000,1717189734601000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1717189697682000000,1717189734601000000,0
workspaceModel.global.apply.state.to.project.ms,1717189697682000000,1717189734601000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1717189697682000000,1717189734601000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1717189697682000000,1717189734601000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.instances.count,1717189697682000000,1717189734601000000,2
jps.global.get.library.ms,1717189697682000000,1717189734601000000,0
jps.library.entities.serializer.save.entities.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1717189697682000000,1717189734601000000,0
workspaceModel.global.updates.ms,1717189697682000000,1717189734601000000,0
workspaceModel.load.cache.metadata.from.file.ms,1717189697682000000,1717189734601000000,0
jps.load.initial.state.ms,1717189697682000000,1717189734601000000,8
workspaceModel.sync.entities.ms,1717189697682000000,1717189734601000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1717189697682000000,1717189734601000000,0
jps.library.entities.serializer.load.entities.ms,1717189697682000000,1717189734601000000,0
jps.save.global.entities.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.entities.ms,1717189697682000000,1717189734601000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1717189697682000000,1717189734601000000,0
jps.app.storage.content.reader.load.component.ms,1717189697682000000,1717189734601000000,0
jps.global.initialize.library.bridges.ms,1717189697682000000,1717189734601000000,0
workspaceModel.load.cache.from.file.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1717189697682000000,1717189734601000000,0
jps.global.initialize.library.bridges.after.loading.ms,1717189697682000000,1717189734601000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1717189697682000000,1717189734601000000,0
jps.global.handle.changed.events.ms,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1717189697682000000,1717189734601000000,0
workspaceModel.global.updates.count,1717189697682000000,1717189734601000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1717189697682000000,1717189734601000000,0
jps.global.get.libraries.ms,1717189697682000000,1717189734601000000,0
